threshold,f1,model
0.01,0.281786941580756,gpt-4.1-nano
0.02,0.281786941580756,gpt-4.1-nano
0.03,0.281786941580756,gpt-4.1-nano
0.04,0.281786941580756,gpt-4.1-nano
0.05,0.281786941580756,gpt-4.1-nano
0.060000000000000005,0.281786941580756,gpt-4.1-nano
0.06999999999999999,0.281786941580756,gpt-4.1-nano
0.08,0.281786941580756,gpt-4.1-nano
0.09,0.281786941580756,gpt-4.1-nano
0.09999999999999999,0.281786941580756,gpt-4.1-nano
0.11,0.2822719449225473,gpt-4.1-nano
0.12,0.2822719449225473,gpt-4.1-nano
0.13,0.2822719449225473,gpt-4.1-nano
0.14,0.2822719449225473,gpt-4.1-nano
0.15000000000000002,0.2822719449225473,gpt-4.1-nano
0.16,0.2822719449225473,gpt-4.1-nano
0.17,0.2822719449225473,gpt-4.1-nano
0.18000000000000002,0.2822719449225473,gpt-4.1-nano
0.19,0.2822719449225473,gpt-4.1-nano
0.2,0.2822719449225473,gpt-4.1-nano
0.21000000000000002,0.18579234972677597,gpt-4.1-nano
0.22,0.18579234972677597,gpt-4.1-nano
0.23,0.18579234972677597,gpt-4.1-nano
0.24000000000000002,0.18579234972677597,gpt-4.1-nano
0.25,0.18579234972677597,gpt-4.1-nano
0.26,0.18579234972677597,gpt-4.1-nano
0.27,0.18579234972677597,gpt-4.1-nano
0.28,0.18579234972677597,gpt-4.1-nano
0.29000000000000004,0.18579234972677597,gpt-4.1-nano
0.3,0.18579234972677597,gpt-4.1-nano
0.31,0.15492957746478872,gpt-4.1-nano
0.32,0.15492957746478872,gpt-4.1-nano
0.33,0.15492957746478872,gpt-4.1-nano
0.34,0.15492957746478872,gpt-4.1-nano
0.35000000000000003,0.07272727272727272,gpt-4.1-nano
0.36000000000000004,0.07272727272727272,gpt-4.1-nano
0.37,0.07272727272727272,gpt-4.1-nano
0.38,0.07272727272727272,gpt-4.1-nano
0.39,0.07272727272727272,gpt-4.1-nano
0.4,0.07272727272727272,gpt-4.1-nano
0.41000000000000003,0.0,gpt-4.1-nano
0.42000000000000004,0.0,gpt-4.1-nano
0.43,0.0,gpt-4.1-nano
0.44,0.0,gpt-4.1-nano
0.45,0.0,gpt-4.1-nano
0.46,0.0,gpt-4.1-nano
0.47000000000000003,0.0,gpt-4.1-nano
0.48000000000000004,0.0,gpt-4.1-nano
0.49,0.0,gpt-4.1-nano
0.5,0.0,gpt-4.1-nano
0.51,0.0,gpt-4.1-nano
0.52,0.0,gpt-4.1-nano
0.53,0.0,gpt-4.1-nano
0.54,0.0,gpt-4.1-nano
0.55,0.0,gpt-4.1-nano
0.56,0.0,gpt-4.1-nano
0.5700000000000001,0.0,gpt-4.1-nano
0.5800000000000001,0.0,gpt-4.1-nano
0.59,0.0,gpt-4.1-nano
0.6,0.0,gpt-4.1-nano
0.61,0.0,gpt-4.1-nano
0.62,0.0,gpt-4.1-nano
0.63,0.0,gpt-4.1-nano
0.64,0.0,gpt-4.1-nano
0.65,0.0,gpt-4.1-nano
0.66,0.0,gpt-4.1-nano
0.67,0.0,gpt-4.1-nano
0.68,0.0,gpt-4.1-nano
0.6900000000000001,0.0,gpt-4.1-nano
0.7000000000000001,0.0,gpt-4.1-nano
0.7100000000000001,0.0,gpt-4.1-nano
0.72,0.0,gpt-4.1-nano
0.73,0.0,gpt-4.1-nano
0.74,0.0,gpt-4.1-nano
0.75,0.0,gpt-4.1-nano
0.76,0.0,gpt-4.1-nano
0.77,0.0,gpt-4.1-nano
0.78,0.0,gpt-4.1-nano
0.79,0.0,gpt-4.1-nano
0.8,0.0,gpt-4.1-nano
0.81,0.0,gpt-4.1-nano
0.8200000000000001,0.0,gpt-4.1-nano
0.8300000000000001,0.0,gpt-4.1-nano
0.8400000000000001,0.0,gpt-4.1-nano
0.85,0.0,gpt-4.1-nano
0.86,0.0,gpt-4.1-nano
0.87,0.0,gpt-4.1-nano
0.88,0.0,gpt-4.1-nano
0.89,0.0,gpt-4.1-nano
0.9,0.0,gpt-4.1-nano
0.91,0.0,gpt-4.1-nano
0.92,0.0,gpt-4.1-nano
0.93,0.0,gpt-4.1-nano
0.9400000000000001,0.0,gpt-4.1-nano
0.9500000000000001,0.0,gpt-4.1-nano
0.9600000000000001,0.0,gpt-4.1-nano
0.97,0.0,gpt-4.1-nano
0.98,0.0,gpt-4.1-nano
0.99,0.0,gpt-4.1-nano
0.01,0.281786941580756,logreg
0.02,0.281786941580756,logreg
0.03,0.28324697754749567,logreg
0.04,0.28321678321678323,logreg
0.05,0.2852112676056338,logreg
0.060000000000000005,0.2898032200357782,logreg
0.06999999999999999,0.29454545454545455,logreg
0.08,0.29906542056074764,logreg
0.09,0.3088803088803089,logreg
0.09999999999999999,0.3134920634920635,logreg
0.11,0.3228511530398323,logreg
0.12,0.33109619686800895,logreg
0.13,0.33014354066985646,logreg
0.14,0.3282828282828283,logreg
0.15000000000000002,0.3425414364640884,logreg
0.16,0.3421828908554572,logreg
0.17,0.3375796178343949,logreg
0.18000000000000002,0.35335689045936397,logreg
0.19,0.350597609561753,logreg
0.2,0.35555555555555557,logreg
0.21000000000000002,0.3282051282051282,logreg
0.22,0.2937853107344633,logreg
0.23,0.2802547770700637,logreg
0.24000000000000002,0.26666666666666666,logreg
0.25,0.22857142857142856,logreg
0.26,0.23076923076923078,logreg
0.27,0.22764227642276422,logreg
0.28,0.19130434782608696,logreg
0.29000000000000004,0.1509433962264151,logreg
0.3,0.11650485436893204,logreg
0.31,0.09803921568627451,logreg
0.32,0.09900990099009901,logreg
0.33,0.08333333333333333,logreg
0.34,0.08333333333333333,logreg
0.35000000000000003,0.043010752688172046,logreg
0.36000000000000004,0.021739130434782608,logreg
0.37,0.02247191011235955,logreg
0.38,0.0,logreg
0.39,0.0,logreg
0.4,0.0,logreg
0.41000000000000003,0.0,logreg
0.42000000000000004,0.0,logreg
0.43,0.0,logreg
0.44,0.0,logreg
0.45,0.0,logreg
0.46,0.0,logreg
0.47000000000000003,0.0,logreg
0.48000000000000004,0.0,logreg
0.49,0.0,logreg
0.5,0.0,logreg
0.51,0.0,logreg
0.52,0.0,logreg
0.53,0.0,logreg
0.54,0.0,logreg
0.55,0.0,logreg
0.56,0.0,logreg
0.5700000000000001,0.0,logreg
0.5800000000000001,0.0,logreg
0.59,0.0,logreg
0.6,0.0,logreg
0.61,0.0,logreg
0.62,0.0,logreg
0.63,0.0,logreg
0.64,0.0,logreg
0.65,0.0,logreg
0.66,0.0,logreg
0.67,0.0,logreg
0.68,0.0,logreg
0.6900000000000001,0.0,logreg
0.7000000000000001,0.0,logreg
0.7100000000000001,0.0,logreg
0.72,0.0,logreg
0.73,0.0,logreg
0.74,0.0,logreg
0.75,0.0,logreg
0.76,0.0,logreg
0.77,0.0,logreg
0.78,0.0,logreg
0.79,0.0,logreg
0.8,0.0,logreg
0.81,0.0,logreg
0.8200000000000001,0.0,logreg
0.8300000000000001,0.0,logreg
0.8400000000000001,0.0,logreg
0.85,0.0,logreg
0.86,0.0,logreg
0.87,0.0,logreg
0.88,0.0,logreg
0.89,0.0,logreg
0.9,0.0,logreg
0.91,0.0,logreg
0.92,0.0,logreg
0.93,0.0,logreg
0.9400000000000001,0.0,logreg
0.9500000000000001,0.0,logreg
0.9600000000000001,0.0,logreg
0.97,0.0,logreg
0.98,0.0,logreg
0.99,0.0,logreg
0.01,0.281786941580756,mlp
0.02,0.281786941580756,mlp
0.03,0.2827586206896552,mlp
0.04,0.28422876949740034,mlp
0.05,0.2857142857142857,mlp
0.060000000000000005,0.2862190812720848,mlp
0.06999999999999999,0.2903225806451613,mlp
0.08,0.29411764705882354,mlp
0.09,0.3041825095057034,mlp
0.09999999999999999,0.30739299610894943,mlp
0.11,0.30327868852459017,mlp
0.12,0.3086680761099366,mlp
0.13,0.32142857142857145,mlp
0.14,0.3269230769230769,mlp
0.15000000000000002,0.3160621761658031,mlp
0.16,0.31955922865013775,mlp
0.17,0.345679012345679,mlp
0.18000000000000002,0.32525951557093424,mlp
0.19,0.30115830115830117,mlp
0.2,0.3063063063063063,mlp
0.21000000000000002,0.2604166666666667,mlp
0.22,0.2389937106918239,mlp
0.23,0.2361111111111111,mlp
0.24000000000000002,0.18604651162790697,mlp
0.25,0.17391304347826086,mlp
0.26,0.09803921568627451,mlp
0.27,0.08163265306122448,mlp
0.28,0.06593406593406594,mlp
0.29000000000000004,0.045454545454545456,mlp
0.3,0.045454545454545456,mlp
0.31,0.023255813953488372,mlp
0.32,0.0,mlp
0.33,0.0,mlp
0.34,0.0,mlp
0.35000000000000003,0.0,mlp
0.36000000000000004,0.0,mlp
0.37,0.0,mlp
0.38,0.0,mlp
0.39,0.0,mlp
0.4,0.0,mlp
0.41000000000000003,0.0,mlp
0.42000000000000004,0.0,mlp
0.43,0.0,mlp
0.44,0.0,mlp
0.45,0.0,mlp
0.46,0.0,mlp
0.47000000000000003,0.0,mlp
0.48000000000000004,0.0,mlp
0.49,0.0,mlp
0.5,0.0,mlp
0.51,0.0,mlp
0.52,0.0,mlp
0.53,0.0,mlp
0.54,0.0,mlp
0.55,0.0,mlp
0.56,0.0,mlp
0.5700000000000001,0.0,mlp
0.5800000000000001,0.0,mlp
0.59,0.0,mlp
0.6,0.0,mlp
0.61,0.0,mlp
0.62,0.0,mlp
0.63,0.0,mlp
0.64,0.0,mlp
0.65,0.0,mlp
0.66,0.0,mlp
0.67,0.0,mlp
0.68,0.0,mlp
0.6900000000000001,0.0,mlp
0.7000000000000001,0.0,mlp
0.7100000000000001,0.0,mlp
0.72,0.0,mlp
0.73,0.0,mlp
0.74,0.0,mlp
0.75,0.0,mlp
0.76,0.0,mlp
0.77,0.0,mlp
0.78,0.0,mlp
0.79,0.0,mlp
0.8,0.0,mlp
0.81,0.0,mlp
0.8200000000000001,0.0,mlp
0.8300000000000001,0.0,mlp
0.8400000000000001,0.0,mlp
0.85,0.0,mlp
0.86,0.0,mlp
0.87,0.0,mlp
0.88,0.0,mlp
0.89,0.0,mlp
0.9,0.0,mlp
0.91,0.0,mlp
0.92,0.0,mlp
0.93,0.0,mlp
0.9400000000000001,0.0,mlp
0.9500000000000001,0.0,mlp
0.9600000000000001,0.0,mlp
0.97,0.0,mlp
0.98,0.0,mlp
0.99,0.0,mlp
0.01,0.281786941580756,xgboost
0.02,0.2827586206896552,xgboost
0.03,0.28422876949740034,xgboost
0.04,0.2892416225749559,xgboost
0.05,0.2898032200357782,xgboost
0.060000000000000005,0.29347826086956524,xgboost
0.06999999999999999,0.2962962962962963,xgboost
0.08,0.30038022813688214,xgboost
0.09,0.3110236220472441,xgboost
0.09999999999999999,0.3138075313807531,xgboost
0.11,0.3185840707964602,xgboost
0.12,0.3262411347517731,xgboost
0.13,0.3220779220779221,xgboost
0.14,0.3277777777777778,xgboost
0.15000000000000002,0.33633633633633636,xgboost
0.16,0.3291139240506329,xgboost
0.17,0.3448275862068966,xgboost
0.18000000000000002,0.34328358208955223,xgboost
0.19,0.35537190082644626,xgboost
0.2,0.36444444444444446,xgboost
0.21000000000000002,0.3349282296650718,xgboost
0.22,0.3469387755102041,xgboost
0.23,0.32,xgboost
0.24000000000000002,0.31446540880503143,xgboost
0.25,0.304635761589404,xgboost
0.26,0.27972027972027974,xgboost
0.27,0.2556390977443609,xgboost
0.28,0.224,xgboost
0.29000000000000004,0.22764227642276422,xgboost
0.3,0.2033898305084746,xgboost
0.31,0.15789473684210525,xgboost
0.32,0.1509433962264151,xgboost
0.33,0.1523809523809524,xgboost
0.34,0.13861386138613863,xgboost
0.35000000000000003,0.10101010101010101,xgboost
0.36000000000000004,0.06382978723404255,xgboost
0.37,0.044444444444444446,xgboost
0.38,0.022988505747126436,xgboost
0.39,0.0,xgboost
0.4,0.0,xgboost
0.41000000000000003,0.0,xgboost
0.42000000000000004,0.0,xgboost
0.43,0.0,xgboost
0.44,0.0,xgboost
0.45,0.0,xgboost
0.46,0.0,xgboost
0.47000000000000003,0.0,xgboost
0.48000000000000004,0.0,xgboost
0.49,0.0,xgboost
0.5,0.0,xgboost
0.51,0.0,xgboost
0.52,0.0,xgboost
0.53,0.0,xgboost
0.54,0.0,xgboost
0.55,0.0,xgboost
0.56,0.0,xgboost
0.5700000000000001,0.0,xgboost
0.5800000000000001,0.0,xgboost
0.59,0.0,xgboost
0.6,0.0,xgboost
0.61,0.0,xgboost
0.62,0.0,xgboost
0.63,0.0,xgboost
0.64,0.0,xgboost
0.65,0.0,xgboost
0.66,0.0,xgboost
0.67,0.0,xgboost
0.68,0.0,xgboost
0.6900000000000001,0.0,xgboost
0.7000000000000001,0.0,xgboost
0.7100000000000001,0.0,xgboost
0.72,0.0,xgboost
0.73,0.0,xgboost
0.74,0.0,xgboost
0.75,0.0,xgboost
0.76,0.0,xgboost
0.77,0.0,xgboost
0.78,0.0,xgboost
0.79,0.0,xgboost
0.8,0.0,xgboost
0.81,0.0,xgboost
0.8200000000000001,0.0,xgboost
0.8300000000000001,0.0,xgboost
0.8400000000000001,0.0,xgboost
0.85,0.0,xgboost
0.86,0.0,xgboost
0.87,0.0,xgboost
0.88,0.0,xgboost
0.89,0.0,xgboost
0.9,0.0,xgboost
0.91,0.0,xgboost
0.92,0.0,xgboost
0.93,0.0,xgboost
0.9400000000000001,0.0,xgboost
0.9500000000000001,0.0,xgboost
0.9600000000000001,0.0,xgboost
0.97,0.0,xgboost
0.98,0.0,xgboost
0.99,0.0,xgboost
